Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220uF,CP_Radial_D6.3mm_P2.50mm,4.0,-16.17,90.0,top
C2,100nF,C_Disc_D5.1mm_W3.2mm_P5.00mm,12.0,-24.0,180.0,top
C3,100nF,C_Disc_D5.1mm_W3.2mm_P5.00mm,12.0,-6.08,180.0,top
C4,220uF,CP_Radial_D6.3mm_P2.50mm,35.0,-10.25,-90.0,top
C5,220uF,CP_Radial_D6.3mm_P2.50mm,35.0,-27.75,-90.0,top
C6,100nF,C_Disc_D5.1mm_W3.2mm_P5.00mm,29.0,-10.5,-90.0,top
C7,100nF,C_Disc_D5.1mm_W3.2mm_P5.00mm,29.0,-28.0,-90.0,top
D1,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,41.0,-13.08,-90.0,top
D2,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,40.975,-30.195,-90.0,top
D3,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,55.0,-48.0,180.0,top
D4,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,68.08,-44.0,180.0,top
D5,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,55.08,-5.84,180.0,top
D6,1N4007,D_DO-41_SOD81_P10.16mm_Horizontal,68.92,-10.0,180.0,top
J1,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,2.0,-29.73,0.0,top
J2,Conn_01x02,"PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal",37.05,-43.35,0.0,top
J3,Conn_01x02,"PhoenixContact_MSTBA_2,5_2-G_1x02_P5.00mm_Horizontal",76.7,-27.0,90.0,top
Q1,IRFZ44N,TO-220-3_Vertical,54.5,-35.85,0.0,top
Q2,IRFZ44N,TO-220-3_Vertical,65.5,-35.9,0.0,top
Q3,IRFZ44N,TO-220-3_Vertical,54.46,-19.84,0.0,top
Q4,IRFZ44N,TO-220-3_Vertical,65.46,-19.84,0.0,top
R1,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,14.0,-15.0,-90.0,top
R10,10R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,68.92,-14.0,180.0,top
R11,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,55.08,-13.84,0.0,top
R12,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,68.76,-6.16,0.0,top
R2,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10.0,-15.0,90.0,top
R3,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,14.05,-33.0,-90.0,top
R4,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,10.0,-33.0,90.0,top
R5,10R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,55.08,-44.0,180.0,top
R6,10R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,68.0,-40.0,180.0,top
R7,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,55.08,-40.0,0.0,top
R8,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,68.0,-48.0,0.0,top
R9,10R,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,54.92,-9.84,180.0,top
U1,IR2110,DIP-14_W7.62mm,21.19,-13.08,180.0,top
U2,IR2110,DIP-14_W7.62mm,20.995,-32.0,180.0,top
